number;content
24-23-00-810-814;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-815;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-816;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-817;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-818;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-819;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-820;Электропроводка
24-23-00-810-820;Контактор аэродромного питания К6-20 (K41)
24-23-00-810-820;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-821;Электропроводка
24-23-00-810-821;Контактор аэродромного питания К6-27 (K42)
24-23-00-810-821;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-822;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-823;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-824;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-825;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-826;Электропроводка
24-23-00-810-826;Контактор К6-22 (K43)
24-23-00-810-826;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-827;Электропроводка
24-23-00-810-827;Контактор К6-21 (K44)
24-23-00-810-827;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-828;Электропроводка
24-23-00-810-828;Вилка ШРАП (14-X242)
24-23-00-810-828;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-829;Электропроводка
24-23-00-810-829;Правая часть потолочного пульта (4-F311)
24-23-00-810-829;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-830;Электропроводка
24-23-00-810-830;Кнопка-табло APU GEN на центральной части потолочного пульта (5-F311)
24-23-00-810-830;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-831;Электропроводка
24-23-00-810-831;Кнопка-табло APU GEN на центральной части потолочного пульта (5-F311)
24-23-00-810-831;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-832;Электропроводка
24-23-00-810-832;Кнопка-табло APU GEN на центральной части потолочного пульта (5-F311)
24-23-00-810-832;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-833;Электропроводка
24-23-00-810-833;Кнопка-табло APU GEN на центральной части потолочного пульта (5-F311)
24-23-00-810-833;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-834;Электропроводка
24-23-00-810-834;Кнопка табло EXT PWR на центральной части потолочного пульта (5-F311)
24-23-00-810-834;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-835;Электропроводка
24-23-00-810-835;Кнопка табло EXT PWR на центральной части потолочного пульта (5-F311)
24-23-00-810-835;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-836;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-837;Электропроводка
24-23-00-810-837;Кнопка-табло APU GEN на центральной части потолочного пульта (5-F311)
24-23-00-810-837;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-838;Электропроводка
24-23-00-810-838;Кнопка-табло APU GEN на центральной части потолочного пульта (5-F311)
24-23-00-810-838;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-839;Электропроводка
24-23-00-810-839;Кнопка-табло EXT PWR на сервисном пульте наземного обслуживания (25-F311)
24-23-00-810-839;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-840;Электропроводка
24-23-00-810-840;Кнопка-табло EXT PWR на сервисном пульте наземного обслуживания (25-F311)
24-23-00-810-840;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-841;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-842;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-843;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-844;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-845;Электропроводка
24-23-00-810-845;Генератор ВСУ (1-X242)
24-23-00-810-845;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-846;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-847;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-848;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-849;Электропроводка
24-23-00-810-849;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-849;Блок трансформаторов тока (CTA)
24-23-00-810-850;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-851;Электропроводка
24-23-00-810-851;Генератор ВСУ (1-X242)
24-23-00-810-851;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-852;Электропроводка
24-23-00-810-852;Генератор ВСУ (1-X242)
24-23-00-810-852;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-853;Электропроводка
24-23-00-810-853;Генератор ВСУ (1-X242)
24-23-00-810-853;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-854;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-855;Электропроводка
24-23-00-810-855;Генератор ВСУ (1-X242)
24-23-00-810-856;Электропроводка
24-23-00-810-856;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-857;Электропроводка
24-23-00-810-857;– Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-858;Электропроводка
24-23-00-810-858;Генератор ВСУ (1-X242)
24-23-00-810-859;Электропроводка
24-23-00-810-859;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-859;Генератор ВСУ (1-X242)
24-23-00-810-860;Электропроводка
24-23-00-810-860;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-861;Электропроводка
24-23-00-810-861;Генератор ВСУ (1-X242)
24-23-00-810-861;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-862;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-863;Генератор ВСУ (1-X242)
24-23-00-810-863;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-864;Электропроводка
24-23-00-810-864;Генератор ВСУ (1-X242)
24-23-00-810-864;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-865;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-866;Электропроводка
24-23-00-810-866;Генератор ВСУ (1-X242)
24-23-00-810-866;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-867;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-868;Генератор ВСУ (1-X242)
24-23-00-810-869;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-870;Электропроводка
24-23-00-810-870;Генератор ВСУ (1-X242)
24-23-00-810-870;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-871;Электропроводка
24-23-00-810-871;Генератор ВСУ (1-X242)
24-23-00-810-871;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-872;Электропроводка
24-23-00-810-873;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-874;Электропроводка
24-23-00-810-874;Кнопка-табло APU GEN на центральной части потолочного пульта (5-F311)
24-23-00-810-875;Электропроводка
24-23-00-810-875;Блок управления наземным генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-876;Электропроводка
24-23-00-810-876;Генератор ВСУ (1-X242)
24-23-00-810-877;Электропроводка
24-23-00-810-877;Генератор ВСУ (1-X242)
24-23-00-810-878;Электропроводка
24-23-00-810-878;Генератор ВСУ (1-X242)
24-23-00-810-879;Вилка ШРАП (14-X242)
24-23-00-810-879;Электропроводка
24-23-00-810-879;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-880;Источник наземного электропитания
24-23-00-810-880;Электропроводка
24-23-00-810-880;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-881;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-882;Электропроводка
24-23-00-810-882;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-883;Левая основная шина переменного тока неисправна
24-23-00-810-883;Правая основная шина переменного тока неисправна
24-23-00-810-884;Источник наземного электропитания
24-23-00-810-885;Источник наземного электропитания
24-23-00-810-885;Электропроводка
24-23-00-810-885;Блок управления ВСУ и наземным питанием (4-Х242)
24-23-00-810-886;Источник внешнего электропитания
24-23-00-810-886;Электропроводка
24-23-00-810-886;Блок управления ВСУ и наземным питанием (4-Х242)
24-23-00-810-887;Электропроводка
24-23-00-810-887;Источник наземного электропитания
24-23-00-810-887;Блок управления ВСУ и наземным питанием (4-Х242)
24-23-00-810-888;Источник наземного электропитания
24-23-00-810-889;Электропроводка
24-23-00-810-889;Источник наземного электропитания
24-23-00-810-889;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-890;Электропроводка
24-23-00-810-890;Источник наземного электропитания
24-23-00-810-890;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-891;Электропроводка
24-23-00-810-891;Источник наземного электропитания
24-23-00-810-891;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-892;Источник наземного электропитания
24-23-00-810-893;Электропроводка
24-23-00-810-893;Источник наземного электропитания
24-23-00-810-893;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-894;Электропроводка
24-23-00-810-894;Источник наземного электропитания
24-23-00-810-894;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-895;Электропроводка
24-23-00-810-895;Источник наземного электропитания
24-23-00-810-895;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-896;Источник наземного электропитания
24-23-00-810-897;Электропроводка
24-23-00-810-897;Источник наземного электропитания
24-23-00-810-897;Вилка ШРАП (14-X242)
24-23-00-810-897;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-898;Электропроводка
24-23-00-810-898;Источник наземного электропитания
24-23-00-810-898;Вилка ШРАП (14-X242)
24-23-00-810-898;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-899;Электропроводка
24-23-00-810-899;Источник наземного электропитания
24-23-00-810-900;Электропроводка
24-23-00-810-900;Источник наземного электропитания
24-23-00-810-901;Электропроводка
24-23-00-810-901;Источник наземного электропитания
24-23-00-810-902;Электропроводка
24-23-00-810-902;Источник наземного электропитания
24-23-00-810-902;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-903;Электропроводка
24-23-00-810-903;Источник наземного электропитания
24-23-00-810-903;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-904;Электропроводка
24-23-00-810-904;Источник наземного электропитания
24-23-00-810-904;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-905;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-906;Электропроводка
24-23-00-810-906;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-907;Источник наземного электропитания
24-23-00-810-907;Электропроводка
24-23-00-810-907;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-908;Источник наземного электропитания
24-23-00-810-908;Электропроводка
24-23-00-810-908;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-909;Источник наземного электропитания
24-23-00-810-909;Электропроводка
24-23-00-810-910;Источник наземного электропитания
24-23-00-810-910;Электропроводка
24-23-00-810-910;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-911;Электропроводка
24-23-00-810-911;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-912;Электропроводка
24-23-00-810-912;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-913;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-914;Электропроводка
24-23-00-810-914;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-915;Электропроводка
24-23-00-810-915;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-916;Электропроводка
24-23-00-810-916;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-917;Электропроводка
24-23-00-810-917;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-918;Электропроводка
24-23-00-810-918;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-919;Электропроводка
24-23-00-810-919;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-920;Электропроводка
24-23-00-810-920;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-921;Электропроводка
24-23-00-810-921;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-922;Электропроводка
24-23-00-810-922;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-923;Электропроводка
24-23-00-810-923;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-924;Электропроводка
24-23-00-810-924;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-925;Электропроводка
24-23-00-810-925;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-926;Электропроводка
24-23-00-810-926;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-927;Электропроводка
24-23-00-810-927;Блок управления генератором ВСУ и наземным питанием (4-Х242)
24-23-00-810-928;Электропроводка
24-23-00-810-928;Кнопка-табло APU GEN на центральной части потолочного пульта (5-F311)
24-23-00-810-928;Блок управления наземным и вспомогательным электропитанием (4-X242)
24-23-00-810-929;Электропроводка
24-23-00-810-929;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-930;Электропроводка
24-23-00-810-930;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-931;Электропроводка
24-23-00-810-931;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-932;Загрязнение, нагар, влага или коррозия силовых разъемов
24-23-00-810-932;Электропроводка
24-23-00-810-932;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-23-00-810-932;Генератор ВСУ (1-X242)
24-24-00-810-801;Ветродвигатель (10-X242)
24-24-00-810-802;Блок управления генератором ветродвигателя (5-X242)
24-24-00-810-803;Электропроводка
24-24-00-810-803;Контактор K5-22 (K5) генератора ветродвигателя (10-X242)
24-24-00-810-804;Электропроводка
24-24-00-810-804;Контактор K6-23 (K6) генератора ветродвигателя (10-X242)
24-24-00-810-805;Электропроводка
24-24-00-810-805;Контактор K5-23 (K9)
24-24-00-810-806;Электропроводка
24-24-00-810-806;Контактор генератора ветродвигателя K6-24 (K10)
24-24-00-810-807;Электропроводка
24-24-00-810-807;Контактор ветродвигателя левый K5-22 (K5)
24-24-00-810-807;Контактор ветродвигателя правый K6-23 (K6)
24-24-00-810-807;Блок управления ветродвигателем (5-X242)
24-24-00-810-808;Электропроводка
24-24-00-810-808;Блок управления ветродвигателем (5-X242)
24-25-00-810-801;Электропроводка
24-25-00-810-801;Статический однофазный преобразователь (12-X242)
24-31-00-810-801;Электропроводка
24-31-00-810-801;Выпрямительное устройство 1 (5-P243)
24-31-00-810-802;Электропроводка
24-31-00-810-802;Выпрямительное устройство 2 (6-P243)
24-31-00-810-803;Электропроводка
24-31-00-810-803;Выпрямительное устройство 3 (7-P243)
24-32-00-810-801;Аккумуляторная батарея 1 (1-P243)
24-32-00-810-802;Аккумуляторная батарея 2(2–P243)
24-32-00-810-803;Аккумуляторная батарея 3(3–P243)
24-32-00-810-804;Аккумуляторная батарея 4 (4-Р243)
24-32-00-810-805;Электропроводка
24-32-00-810-805;Кнопка-табло BAT1 на пульте электроснабжения (5-F311)
24-32-00-810-805;Контактор К1-7
24-32-00-810-813;Электропроводка
24-32-00-810-813;Устройство распределительное постоянного тока (82-Р246)
24-32-00-810-814;Электропроводка
24-32-00-810-815;Аккумуляторная батарея 1 (1-P243)
24-32-00-810-816;Аккумуляторная батарея 1 (1-P243)
24-32-00-810-818;Электропроводка
24-32-00-810-818;Устройство распределительное постоянного тока (83-Р246)
24-32-00-810-819;Электропроводка
24-32-00-810-819;Устройство распределительное постоянного тока (83-Р246)
24-32-00-810-820;Аккумуляторная батарея 2 (2-P243)
24-32-00-810-821;Аккумуляторная батарея 2 (2-P243)
24-32-00-810-822;Аккумуляторная батарея 2 (2-P243)
24-32-00-810-823;Электропроводка
24-32-00-810-823;Устройство распределительное постоянного тока (84-Р243)
24-32-00-810-824;Электропроводка
24-32-00-810-825;Аккумуляторная батарея 3 (3-P243)
24-32-00-810-826;Аккумуляторная батарея 3 (3-P243)
24-32-00-810-827;Аккумуляторная батарея 3 (3-P243)
24-32-00-810-828;Электропроводка
24-32-00-810-828;Устройство распределительное постоянного тока (85-Р246)
24-32-00-810-829;Электропроводка
24-32-00-810-829;Устройство распределительное постоянного тока (85-Р246)
24-32-00-810-830;Аккумуляторная батарея 4 (4-P243)
24-32-00-810-831;Аккумуляторная батарея 4 (4-P243)
24-32-00-810-832;Аккумуляторная батарея 4 (4-P243)
24-32-00-810-833;Загрязнение, нагар, окисление, влага, некорректность затяжки электрических соединителей
24-32-00-810-833;Блок управления генератором ВСУ и наземным питанием (4-X242)
24-41-00-810-801;Электропроводка
24-61-00-810-805;Электропроводка
24-61-00-810-806;Электропроводка
24-61-00-810-807;Аккумуляторные батареи 1 (1-P243) и 3 (3-P243)
24-61-00-810-808;Аккумуляторные батареи 2 (2-P243) и 4 (4-P243)
24-61-00-810-809;Электропроводка
24-61-00-810-809;Блок выключателей-предохранителей LMU1 (20-P246)
24-61-00-810-809;АЗС F1-63 на распределительном устройстве DB 28V N1
24-61-00-810-809;Канал блока выключателей-предохранителей LMU1 (20-P246) отключен
24-61-00-810-809;Рассогласование входящих управляющих сигналов (ARINC429) от блоков CPCU1 и CPCU2
24-61-00-810-810;Электропроводка
24-61-00-810-810;Блок выключателей-предохранителей LMU2 (21-P246)
24-61-00-810-810;АЗС F2-67 на распределительном устройстве DB 28V N2
24-61-00-810-810;Канал блока выключателей-предохранителей LMU2 (21-P246) отключен
24-61-00-810-810;Рассогласование входящих управляющих сигналов (ARINC429) от блоков CPCU1 и CPCU2
24-61-00-810-811;Электропроводка
24-61-00-810-811;Блок выключателей-предохранителей LMU3 (15-P246)
24-61-00-810-811;АЗС F1-60 на распределительном устройстве DB 28V N1
24-61-00-810-811;Канал блока выключателей-предохранителей LMU3 (15-P246) отключен
24-61-00-810-811;Рассогласование входящих управляющих сигналов (ARINC429) от блоков CPCU1 и CPCU2
24-61-00-810-812;Электропроводка
24-61-00-810-812;Блок выключателей-предохранителей LMU4 (19-P246)
24-61-00-810-812;АЗС F2-62 на распределительном устройстве DB 28V N2
24-61-00-810-812;Канал блока выключателей-предохранителей LMU4 (19-P246) отключен
24-61-00-810-812;Рассогласование входящих управляющих сигналов (ARINC429) от блоков CPCU1 и CPCU2
24-61-00-810-813;Электропроводка
24-61-00-810-813;Блок выключателей-предохранителей LMU5 (16-P246)
24-61-00-810-813;АЗС F1-64 на распределительном устройстве DB 28V N1
24-61-00-810-813;Канал блока выключателей-предохранителей LMU5 (16-P246) отключен
24-61-00-810-813;Рассогласование входящих управляющих сигналов (ARINC429) от блоков CPCU1 и CPCU2
24-61-00-810-814;Электропроводка
24-61-00-810-814;Блок выключателей-предохранителей LMU6 (62-P246)
24-61-00-810-814;АЗС F2-68 на распределительном устройстве DB 28V N2
24-61-00-810-814;Канал блока выключателей-предохранителей LMU6 (62-P246) отключен
24-61-00-810-814;Рассогласование входящих управляющих сигналов (ARINC429) от блоков CPCU1 и CPCU2
24-61-00-810-815;Электропроводка
24-61-00-810-815;Блок выключателей-предохранителей LMU7 (18-P246)
24-61-00-810-815;АЗС F1-65 на распределительном устройстве DB 28V N1
24-61-00-810-815;Канал блока выключателей-предохранителей LMU7 (18-P246) отключен
24-61-00-810-815;Рассогласование входящих управляющих сигналов (ARINC429) от блоков CPCU1 и CPCU2
24-61-00-810-816;Электропроводка
24-61-00-810-816;Блок выключателей-предохранителей LMU8 (17-P246)
24-61-00-810-816;АЗС F2-69 на распределительном устройстве DB 28V N2
24-61-00-810-816;Канал блока выключателей-предохранителей LMU8 (17-P246) отключен
24-61-00-810-816;Рассогласование входящих управляющих сигналов (ARINC429) от блоков CPCU1 и CPCU2
24-61-00-810-817;Электропроводка
24-61-00-810-817;Блок выключателей-предохранителей LMU9 (22-P246)
24-61-00-810-817;АЗС F3-31 на распределительном устройстве DB 28V N3
24-61-00-810-817;Канал блока выключателей-предохранителей LMU9 (22-P246) отключен
24-61-00-810-817;Рассогласование входящих управляющих сигналов (ARINC429) от блоков CPCU1 и CPCU2
24-61-00-810-818;Электропроводка
24-61-00-810-818;Блок выключателей-предохранителей LMU10 (23-P246)
24-61-00-810-818;АЗС F4-13 на распределительном устройстве DB 28V N4
24-61-00-810-818;Канал блока выключателей-предохранителей LMU10 (23-P246) отключен
24-61-00-810-818;Рассогласование входящих управляющих сигналов (ARINC429) от блоков CPCU1 и CPCU2
24-61-00-810-819;Электропроводка
24-61-00-810-819;Блок выключателей-предохранителей LMU11 (80-P246)
24-61-00-810-819;АЗС F3-4 на распределительном устройстве DB 28V N3
24-61-00-810-819;Канал блока выключателей-предохранителей LMU11 (80-P246) отключен
24-61-00-810-819;Рассогласование входящих управляющих сигналов (ARINC429) от блоков CPCU1 и CPCU2
24-61-00-810-820;Электропроводка
24-61-00-810-820;Блок выключателей-предохранителей LMU12 (81-P246)
24-61-00-810-820;АЗС F4-7 на распределительном устройстве DB 28V N4
24-61-00-810-820;Канал блока выключателей-предохранителей LMU12 (81-P246) отключен
24-61-00-810-820;Рассогласование входящих управляющих сигналов (ARINC429) от блоков CPCU1 и CPCU2
24-61-00-810-821;Пульт управления электрическими нагрузками (24-F311)
24-61-00-810-823;АЗС “L DC MONG” F1-70 (DB 28V N1)
24-61-00-810-823;Контактор К1-5
24-61-00-810-823;Электропроводка
24-61-00-810-823;Блоки концентраторы данных (3-T314, 4-T314)
24-61-00-810-824;АЗС “R DC MONG” F2-74 (РУ 28V N2)
24-61-00-810-824;Контактор К2-7
24-61-00-810-824;Электропроводка
24-61-00-810-824;Блоки концентраторы данных (3-T314, 4-T314)
