Имя;Номер работы;Раздел;Подраздел;Код системы;Номер страницы начальной;Номер страницы конечной;Номер фактической страницы
Срабатывание защиты от повышенного напряжения генератора ВСУ, вызванное отказом цепи точки регулирования;24-23-00-810-847;24-23-00;810-847;24-23-00;201;202;603
Срабатывание защиты от повышенного напряжения генератора ВСУ, вызванное коротким замыканием минусовой цепи возбудителя генератора на корпус или экран;24-23-00-810-848;24-23-00;810-848;24-23-00;201;202;605
Срабатывание защиты от повышенного напряжения генератора ВСУ, вызванное обрывом нейтрали цепи точки регулирования;24-23-00-810-849;24-23-00;810-849;24-23-00;201;202;607
Срабатывание защиты от повышенного напряжения генератора ВСУ, вызванное отказом блока управления генератором ВСУ и наземным питанием;24-23-00-810-850;24-23-00;810-850;24-23-00;201;202;609
Срабатывание защиты от пониженного напряжения генератора ВСУ, вызванное коротоким замыканием или обрывом в цепи генератора на постоянных магнитах;24-23-00-810-851;24-23-00;810-851;24-23-00;201;202;611
Срабатывание защиты от пониженного напряжения генератора ВСУ, вызванное КЗ в цепи возбудителя;24-23-00-810-852;24-23-00;810-852;24-23-00;201;202;613
Срабатывание защиты от пониженного напряжения генератора ВСУ, вызванное обрывом в цепи возбудителя;24-23-00-810-853;24-23-00;810-853;24-23-00;201;202;615
Срабатывание защиты от пониженного напряжения генератора ВСУ, вызванное регулированием блока управления генератором ВСУ и наземным питанием;24-23-00-810-854;24-23-00;810-854;24-23-00;201;202;617
Срабатывание защиты от пониженного напряжения генератора ВСУ вызванное обрывом фидера генератора ВСУ;24-23-00-810-855;24-23-00;810-855;24-23-00;201;202;619
Срабатывание защиты от пониженного напряжения генератора ВСУ вызванное обрывом цепи точки регулирования генератора ВСУ;24-23-00-810-856;24-23-00;810-856;24-23-00;201;202;621
Срабатывание защиты от пониженного напряжения генератора ВСУ вызванное обрывом цепи нейтрали точки регулирования;24-23-00-810-857;24-23-00;810-857;24-23-00;201;202;623
Срабатывание защиты от пониженного напряжения генератора ВСУ вызванное обрывом цепи нейтрали привод-генератора;24-23-00-810-858;24-23-00;810-858;24-23-00;201;202;625
Срабатывание защиты от пониженного напряжения генератора ВСУ вызванное отказом цепи точки регулирования или фидера с не подключением генератора на борт;24-23-00-810-859;24-23-00;810-859;24-23-00;201;202;627
Срабатывание защиты от пониженного напряжения генератора ВСУ вызванное обрывом цепи нейтрали точки регулирования с не подключением генератора на борт;24-23-00-810-860;24-23-00;810-860;24-23-00;201;202;629
Срабатывание защиты от пониженного напряжения генератора ВСУ вызванное обрывом цепи нейтрали фидера с не подключением генератора на борт;24-23-00-810-861;24-23-00;810-861;24-23-00;201;202;631
Срабатывание защиты от повышенной частоты, вызванное отказом цепи определения частоты генератора ВСУ;24-23-00-810-862;24-23-00;810-862;24-23-00;201;202;633
Срабатывание защиты от повышенной частоты, вызванное отказом генератора ВСУ или блока управления генератором ВСУ и наземным питанием;24-23-00-810-863;24-23-00;810-863;24-23-00;201;202;635
Срабатывание защиты от пониженной частоты, вызванное коротоким замыканием или обрывом в цепи вращающихся диодов генератора ВСУ;24-23-00-810-864;24-23-00;810-864;24-23-00;201;202;637
Срабатывание защиты от пониженной частоты, вызванное коротоким замыканием или обрывом в цепи вращающихся диодов генератора ВСУ;24-23-00-810-865;24-23-00;810-865;24-23-00;201;202;639
Срабатывание защиты от пониженной частоты, вызванное отказом генератора ВСУ, блока у правления генератором ВСУ и наземным питанием или сигнала готовности ВСУ;24-23-00-810-866;24-23-00;810-866;24-23-00;201;202;641
Срабатывание защиты от короткого замыкания в цепи вращающихся диодов, вызванное отказом в цепи обмотки возбуждения генератора ВСУ;24-23-00-810-867;24-23-00;810-867;24-23-00;201;202;643
Срабатывание защиты от короткого замыкания в цепи вращающихся диодов, вызванное отказом генератора ВСУ;24-23-00-810-868;24-23-00;810-868;24-23-00;201;202;645
Срабатывание дифференциальной защиты по току, вызванное отказом цепи определения тока генератора правого двигателя;24-23-00-810-869;24-23-00;810-869;24-23-00;201;202;647
Срабатывание дифференциальной защиты по току генератора правого двигателя, вызванное отказом блока трансформатора тока генератора;24-23-00-810-870;24-23-00;810-870;24-23-00;201;202;649
Срабатывание дифференциальной защиты по току генератора правого двигателя, вызванное отказом блока трансформатора тока;24-23-00-810-871;24-23-00;810-871;24-23-00;201;202;651
Срабатывание дифференциальной защиты по току, вызванное наличием КЗ генератора или фидера генератора ВСУ;24-23-00-810-872;24-23-00;810-872;24-23-00;201;202;653
Срабатывание защиты от превышения тока генератора ВСУ, вызванное отказом цепи контроля тока;24-23-00-810-873;24-23-00;810-873;24-23-00;201;202;655
Срабатывание защиты от превышения тока генератора ВСУ, вызванное отказом шины;24-23-00-810-874;24-23-00;810-874;24-23-00;201;202;657
Неправильный порядок чередования фаз генератора ВСУ;24-23-00-810-875;24-23-00;810-875;24-23-00;201;202;659
Срабатывание защиты от обрыва фаз генератора ВСУ, вызванное обрывом фазы A;24-23-00-810-876;24-23-00;810-876;24-23-00;201;202;661
Срабатывание защиты от обрыва фаз генератора ВСУ, вызванное обрывом фазы B;24-23-00-810-877;24-23-00;810-877;24-23-00;201;202;663
Срабатывание защиты от обрыва фаз генератора ВСУ, вызванное обрывом фазы C;24-23-00-810-878;24-23-00;810-878;24-23-00;201;202;665
Срабатывание защиты от повышенного напряжения источника наземного питания;24-23-00-810-879;24-23-00;810-879;24-23-00;201;202;667
Срабатывание защиты от повышенного напряжения источника наземного питания;24-23-00-810-880;24-23-00;810-880;24-23-00;201;202;669
Срабатывание защиты от повышенного напряжения генератора ВСУ, вызванное отказом цепи контроля напряжения;24-23-00-810-881;24-23-00;810-881;24-23-00;201;202;671
Срабатывание защиты от повышенного напряжения источника наземного питания;24-23-00-810-882;24-23-00;810-882;24-23-00;201;202;673
Срабатывание защиты от повышенного напряжения источника наземного питания, вызванное дисбалансом напряжений источника наземного питания;24-23-00-810-883;24-23-00;810-883;24-23-00;201;202;675
Срабатывание защиты от повышенного напряжения источника наземного питания, вызванное повышенным напряжением источника наземного питания;24-23-00-810-884;24-23-00;810-884;24-23-00;201;202;677
Срабатывание защиты от пониженного напряжения источника наземного питания;24-23-00-810-885;24-23-00;810-885;24-23-00;201;202;679
Срабатывание защиты от пониженного напряжения источника наземного питания;24-23-00-810-886;24-23-00;810-886;24-23-00;201;202;681
Срабатывание защиты от пониженного напряжения источника наземного питания;24-23-00-810-887;24-23-00;810-887;24-23-00;201;202;683
Срабатывание защиты от пониженного напряжения источника наземного питания, вызванное пониженным напряжением источника наземного питания;24-23-00-810-888;24-23-00;810-888;24-23-00;201;202;685
Срабатывание защиты от повышенной частоты источника наземного питания;24-23-00-810-889;24-23-00;810-889;24-23-00;201;202;687
Срабатывание защиты от повышенной частоты источника наземного питания;24-23-00-810-890;24-23-00;810-890;24-23-00;201;202;689
Срабатывание защиты от повышенной частоты источника наземного питания;24-23-00-810-891;24-23-00;810-891;24-23-00;201;202;691
Срабатывание защиты от повышенной частоты источника наземного питания, вызванное повышенной частотой источника наземного питания;24-23-00-810-892;24-23-00;810-892;24-23-00;201;202;693
Срабатывание защиты от пониженной частоты источника наземного питания;24-23-00-810-893;24-23-00;810-893;24-23-00;201;202;695
Срабатывание защиты от пониженной частоты источника наземного питания;24-23-00-810-894;24-23-00;810-894;24-23-00;201;202;697
Срабатывание защиты от пониженной частоты источника наземного питания;24-23-00-810-895;24-23-00;810-895;24-23-00;201;202;699
Срабатывание защиты от пониженной частоты источника наземного питания, вызванное пониженной частотой источника наземного питания;24-23-00-810-896;24-23-00;810-896;24-23-00;201;202;701
Отказ в цепи соединения контактов E и ШРАП наземного источника наземного питания;24-23-00-810-897;24-23-00;810-897;24-23-00;201;202;703
Отказ в цепи соединения контактов E и ШРАП наземного источника наземного питания;24-23-00-810-898;24-23-00;810-898;24-23-00;201;202;705
Срабатывание защиты от обрыва фаз источника наземного питания, вызванное обрывом фазы A;24-23-00-810-899;24-23-00;810-899;24-23-00;201;202;707
Срабатывание защиты от обрыва фаз источника наземного питания, вызванное обрывом фазы B;24-23-00-810-900;24-23-00;810-900;24-23-00;201;202;709
Срабатывание защиты от обрыва фаз источника наземного питания, вызванное обрывом фазы C;24-23-00-810-901;24-23-00;810-901;24-23-00;201;202;711
Срабатывание защиты от превышения тока источника наземного питания;24-23-00-810-902;24-23-00;810-902;24-23-00;201;202;713
Срабатывание защиты от превышения тока источника наземного питания;24-23-00-810-903;24-23-00;810-903;24-23-00;201;202;715
Срабатывание защиты от превышения тока источника наземного питания;24-23-00-810-904;24-23-00;810-904;24-23-00;201;202;717
Срабатывание защиты от превышения тока источника наземного питания, вызванное отказом цепи контроля тока;24-23-00-810-905;24-23-00;810-905;24-23-00;201;202;719
Срабатывание защиты от превышения тока источника наземного питания, вызванное КЗ фидера источника наземного питания;24-23-00-810-906;24-23-00;810-906;24-23-00;201;202;721
Неправильный порядок чередования фаз наземного источника питания;24-23-00-810-907;24-23-00;810-907;24-23-00;201;202;723
Неправильный порядок чередования фаз наземного источника питания;24-23-00-810-908;24-23-00;810-908;24-23-00;201;202;725
Неправильный порядок чередования фаз наземного источника питания;24-23-00-810-909;24-23-00;810-909;24-23-00;201;202;727
Неправильный порядок чередования фаз наземного источника питания, вызванное отказом фидера;24-23-00-810-910;24-23-00;810-910;24-23-00;201;202;729
Превышение тока цепи управления контактором K41/K42;24-23-00-810-911;24-23-00;810-911;24-23-00;201;202;731
Превышение тока цепи управления контактором K43/K44;24-23-00-810-912;24-23-00;810-912;24-23-00;201;202;733
"""Холодный старт"" блока управления генератором ВСУ и наземным питанием после прерывания питания блока";24-23-00-810-913;24-23-00;810-913;24-23-00;201;202;735
Неисправность внутренней цепи блока управления генератором ВСУ и наземным питанием (цепь определения состояния сигнального контакта контактора К1);24-23-00-810-914;24-23-00;810-914;24-23-00;201;202;737
Неисправность внутренней цепи блока управления генератором ВСУ и наземным питанием (цепь определения состояния сигнального контакта контактора К41);24-23-00-810-915;24-23-00;810-915;24-23-00;201;202;739
Неисправность внутренней цепи блока управления генератором ВСУ и наземным питанием (цепь определения состояния сигнального контакта контактора К42);24-23-00-810-916;24-23-00;810-916;24-23-00;201;202;741
Неисправность внутренней цепи блока управления генератором ВСУ и наземным питанием (цепь определения состояния сигнального контакта контактора К2);24-23-00-810-917;24-23-00;810-917;24-23-00;201;202;743
Неисправность внутренней цепи блока управления генератором ВСУ и наземным питанием (цепь определения состояния сигнального контакта контактора К31);24-23-00-810-918;24-23-00;810-918;24-23-00;201;202;745
Неисправность внутренней цепи блока управления генератором ВСУ и наземным питанием (цепь определения состояния сигнального контакта контактора К32);24-23-00-810-919;24-23-00;810-919;24-23-00;201;202;747
Неисправность внутренней цепи блока управления генератором ВСУ и наземным питанием (цепь определения состояния сигнального контакта контактора К43);24-23-00-810-920;24-23-00;810-920;24-23-00;201;202;749
Неисправность внутренней цепи блока управления генератором ВСУ и наземным питанием (цепь определения состояния сигнального контакта контактора К44);24-23-00-810-921;24-23-00;810-921;24-23-00;201;202;751
Неисправность внутренней цепи блока управления генератором ВСУ и наземным питанием (цепь определения состояния кнопки- табло EXT PWR пульта наземного обслуживания);24-23-00-810-922;24-23-00;810-922;24-23-00;201;202;753
Неисправность внутренней цепи блока управления генератором ВСУ и наземным питанием (цепь определения состояния кнопки- табло APU GEN положения OFF);24-23-00-810-923;24-23-00;810-923;24-23-00;201;202;755
Неисправность внутренней цепи блока управления генератором ВСУ и наземным питанием (цепь определения состояния кнопки- табло APU GEN положения ON);24-23-00-810-924;24-23-00;810-924;24-23-00;201;202;757
Неисправность внутренней цепи блока управления генератором ВСУ и наземным питанием (цепь определения состояния сигнала готовности ВСУ);24-23-00-810-925;24-23-00;810-925;24-23-00;201;202;759
Неисправность внутренней цепи блока управления генератором ВСУ и наземным питанием (цепи определения состояния кнопки- табло EXT PWR пульта управления системой электроснабжения);24-23-00-810-926;24-23-00;810-926;24-23-00;201;202;761
Неисправность внутренней цепи блока управления генератором ВСУ и наземным питанием (цепи определения состояния сигнала шасси обжато);24-23-00-810-927;24-23-00;810-927;24-23-00;201;202;763
Отказ при определении состояния кнопки-табло GEN APU с неподключением генератора к шине;24-23-00-810-928;24-23-00;810-928;24-23-00;201;202;765
Отсутствуют данные на блоке концентраторе данных 1 и 2 от блока управления генератором ВСУ и наземным питанием;24-23-00-810-929;24-23-00;810-929;24-23-00;201;202;767
Отсутствуют данные на блоке концентраторе данных 1 от блока управления генератором ВСУ и наземным питание;24-23-00-810-930;24-23-00;810-930;24-23-00;201;202;769
Отсутствуют данные на блоке концентраторе данных 2 от блока управления генератором ВСУ и наземным питанием;24-23-00-810-931;24-23-00;810-931;24-23-00;201;202;771
Отказ генератора ВСУ;24-23-00-810-932;24-23-00;810-932;24-23-00;201;202;773
Неисправность обогрева ветродвигателя;24-24-00-810-801;24-24-00;810-801;24-24-00;201;202;775
Неисправность блока управления ветродвигателем;24-24-00-810-802;24-24-00;810-802;24-24-00;201;202;777
Неисправность левого контактора подключения генератора ветродвигателя K5;24-24-00-810-803;24-24-00;810-803;24-24-00;201;202;779
Неисправность правого контактора подключения генератора ветродвигателя K6;24-24-00-810-804;24-24-00;810-804;24-24-00;201;202;781
Неисправность левого контактора подключения генератора ветродвигателя K9;24-24-00-810-805;24-24-00;810-805;24-24-00;201;202;783
Неисправность правого контактора подключения генератора ветродвигателя K10;24-24-00-810-806;24-24-00;810-806;24-24-00;201;202;785
Неисправность в цепи управления подключением генератора ветродвигателя;24-24-00-810-807;24-24-00;810-807;24-24-00;201;204;787
Ошибка сигнала выпуска ветродвигателя;24-24-00-810-808;24-24-00;810-808;24-24-00;201;202;791
Неисправность статического преобразователя;24-25-00-810-801;24-25-00;810-801;24-25-00;201;202;793
Отказ выпрямительного устройства 1;24-31-00-810-801;24-31-00;810-801;24-31-00;201;202;795
Отказ выпрямительного устройства 2;24-31-00-810-802;24-31-00;810-802;24-31-00;201;202;797
Отказ выпрямительного устройства 3;24-31-00-810-803;24-31-00;810-803;24-31-00;201;202;799
Перегрев аккумуляторной батареи 1;24-32-00-810-801;24-32-00;810-801;24-32-00;201;202;801
Перегрев аккумуляторной батареи 2;24-32-00-810-802;24-32-00;810-802;24-32-00;201;202;803
Перегрев аккумуляторной батареи 3;24-32-00-810-803;24-32-00;810-803;24-32-00;201;202;805
Перегрев аккумуляторной батареи 4;24-32-00-810-804;24-32-00;810-804;24-32-00;201;202;807
Аккумуляторная батарея 1 не включилась от кнопки-табло BAT 1 на пульте ELEC;24-32-00-810-805;24-32-00;810-805;24-32-00;201;202;809
Отсутствует информация о токе аккумуляторной батареи 1;24-32-00-810-813;24-32-00;810-813;24-32-00;201;202;811
Отсутствует информация о напряжении аккумуляторной батареи 1;24-32-00-810-814;24-32-00;810-814;24-32-00;201;202;813
Напряжение аккумуляторной батареи 1 не в допустимом диапазоне;24-32-00-810-815;24-32-00;810-815;24-32-00;201;202;815
Аккумуляторная батарея 1 разряжается;24-32-00-810-816;24-32-00;810-816;24-32-00;201;202;817
Отсутствует информация о токе аккумуляторной батареи 2;24-32-00-810-818;24-32-00;810-818;24-32-00;201;202;819
Отсутствует информация о напряжении аккумуляторной батареи 2;24-32-00-810-819;24-32-00;810-819;24-32-00;201;202;821
Отсутствует информация о напряжении аккумуляторной батареи 2;24-32-00-810-820;24-32-00;810-820;24-32-00;201;202;823
Напряжение аккумуляторной батареи 2 не в допустимом диапазоне;24-32-00-810-821;24-32-00;810-821;24-32-00;201;202;825
Аккумуляторная батарея 2 разряжается;24-32-00-810-822;24-32-00;810-822;24-32-00;201;202;827
Отсутствует информация о токе аккумуляторной батареи 3;24-32-00-810-823;24-32-00;810-823;24-32-00;201;202;829
Отсутствует информация о напряжении аккумуляторной батареи 3;24-32-00-810-824;24-32-00;810-824;24-32-00;201;202;831
Напряжение аккумуляторной батареи 3 не в допустимом диапазоне;24-32-00-810-825;24-32-00;810-825;24-32-00;201;202;833
Напряжение аккумуляторной батареи 3 не в допустимом диапазоне;24-32-00-810-826;24-32-00;810-826;24-32-00;201;202;835
Аккумуляторная батарея 3 разряжается;24-32-00-810-827;24-32-00;810-827;24-32-00;201;202;837
Отсутствует информация о токе аккумуляторной батареи 4;24-32-00-810-828;24-32-00;810-828;24-32-00;201;202;839
Отсутствует информация о напряжении аккумуляторной батареи 4;24-32-00-810-829;24-32-00;810-829;24-32-00;201;202;841
Напряжение аккумуляторной батареи 4 не в допустимом диапазоне;24-32-00-810-830;24-32-00;810-830;24-32-00;201;202;843
Напряжение аккумуляторной батареи 4 не в допустимом диапазоне;24-32-00-810-831;24-32-00;810-831;24-32-00;201;202;845
Аккумуляторная батарея 4 разряжается;24-32-00-810-832;24-32-00;810-832;24-32-00;201;202;847
Две или более аккумуляторных батарей разряжаются;24-32-00-810-833;24-32-00;810-833;24-32-00;201;202;849
Неисправность подключения наземного источника питания;24-41-00-810-801;24-41-00;810-801;24-41-00;201;202;851
Отсутствует информация о напряжении на левой шине постоянного тока;24-61-00-810-805;24-61-00;810-805;24-61-00;201;202;853
Отсутствует информация о напряжении на правой шине постоянного тока;24-61-00-810-806;24-61-00;810-806;24-61-00;201;202;855
Напряжение на левой шине постоянного тока не в допустимом диапазоне;24-61-00-810-807;24-61-00;810-807;24-61-00;201;202;857
Напряжение на правой шине постоянного тока не в допустимом диапазоне;24-61-00-810-808;24-61-00;810-808;24-61-00;201;202;859
Отказ канала блока выключателей-предохранителей 1;24-61-00-810-809;24-61-00;810-809;24-61-00;201;204;861
Отказ канала блока выключателей-предохранителей 2;24-61-00-810-810;24-61-00;810-810;24-61-00;201;204;865
Отказ канала блока выключателей-предохранителей 3;24-61-00-810-811;24-61-00;810-811;24-61-00;201;204;869
Отказ канала блока выключателей-предохранителей 4;24-61-00-810-812;24-61-00;810-812;24-61-00;201;204;873
Отказ канала блока выключателей-предохранителей 5;24-61-00-810-813;24-61-00;810-813;24-61-00;201;204;877
Отказ канала блока выключателей-предохранителей 6;24-61-00-810-814;24-61-00;810-814;24-61-00;201;204;881
Отказ канала блока выключателей-предохранителей 7;24-61-00-810-815;24-61-00;810-815;24-61-00;201;204;885
Отказ канала блока выключателей-предохранителей 8;24-61-00-810-816;24-61-00;810-816;24-61-00;201;204;889
Отказ канала блока выключателей-предохранителей 9;24-61-00-810-817;24-61-00;810-817;24-61-00;201;204;893
Отказ канала блока выключателей-предохранителей 10;24-61-00-810-818;24-61-00;810-818;24-61-00;201;204;897
Отказ канала блока выключателей-предохранителей 11;24-61-00-810-819;24-61-00;810-819;24-61-00;201;204;901
Отказ канала блока выключателей-предохранителей 12;24-61-00-810-820;24-61-00;810-820;24-61-00;201;204;905
Отказ пульта управления электрическими нагрузками;24-61-00-810-821;24-61-00;810-821;24-61-00;201;202;909
Левая основная шина постоянного тока не запитана;24-61-00-810-823;24-61-00;810-823;24-61-00;201;202;911
Правая основная шина постоянного тока не запитана;24-61-00-810-824;24-61-00;810-824;24-61-00;201;202;913
